model,mode,n,exact_match,exact_match_pct,category_match,category_match_pct,chapter_match,chapter_match_pct,out_of_domain,out_of_domain_pct,hallucination,hallucination_pct
baseline:exact,D1_full,125,0,0.0,0,0.0,0,0.0,0,0.0,125,1.0
baseline:exact,D2_no_code,125,0,0.0,0,0.0,0,0.0,0,0.0,125,1.0
baseline:exact,D3_text_only,125,0,0.0,0,0.0,0,0.0,0,0.0,125,1.0
baseline:exact,D4_abbreviated,125,0,0.0,0,0.0,0,0.0,0,0.0,125,1.0
baseline:fuzzy,D1_full,125,67,0.536,28,0.224,0,0.0,0,0.0,30,0.24
baseline:fuzzy,D2_no_code,125,67,0.536,28,0.224,0,0.0,0,0.0,30,0.24
baseline:fuzzy,D3_text_only,125,67,0.536,28,0.224,0,0.0,0,0.0,30,0.24
baseline:fuzzy,D4_abbreviated,125,25,0.2,8,0.064,30,0.24,28,0.224,34,0.272
baseline:tfidf,D1_full,125,67,0.536,15,0.12,0,0.0,0,0.0,43,0.344
baseline:tfidf,D2_no_code,125,67,0.536,15,0.12,0,0.0,0,0.0,43,0.344
baseline:tfidf,D3_text_only,125,67,0.536,15,0.12,0,0.0,0,0.0,43,0.344
baseline:tfidf,D4_abbreviated,125,25,0.2,7,0.056,16,0.128,38,0.304,39,0.312
claude-haiku-4-5:constrained,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:constrained,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:constrained,D3_text_only,125,117,0.936,8,0.064,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:constrained,D4_abbreviated,125,117,0.936,8,0.064,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:rag,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:rag,D2_no_code,125,123,0.984,2,0.016,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:rag,D3_text_only,125,110,0.88,15,0.12,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:rag,D4_abbreviated,125,95,0.76,30,0.24,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:zeroshot,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-haiku-4-5:zeroshot,D2_no_code,125,113,0.904,8,0.064,0,0.0,0,0.0,4,0.032
claude-haiku-4-5:zeroshot,D3_text_only,125,105,0.84,14,0.112,0,0.0,0,0.0,6,0.048
claude-haiku-4-5:zeroshot,D4_abbreviated,125,102,0.816,18,0.144,0,0.0,1,0.008,4,0.032
claude-opus-4-7:constrained,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-opus-4-7:constrained,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-opus-4-7:constrained,D3_text_only,125,116,0.928,8,0.064,0,0.0,0,0.0,1,0.008
claude-opus-4-7:constrained,D4_abbreviated,125,108,0.864,17,0.136,0,0.0,0,0.0,0,0.0
claude-opus-4-7:rag,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-opus-4-7:rag,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-opus-4-7:rag,D3_text_only,125,109,0.872,16,0.128,0,0.0,0,0.0,0,0.0
claude-opus-4-7:rag,D4_abbreviated,125,102,0.816,23,0.184,0,0.0,0,0.0,0,0.0
claude-opus-4-7:zeroshot,D1_full,125,124,0.992,0,0.0,0,0.0,0,0.0,1,0.008
claude-opus-4-7:zeroshot,D2_no_code,125,124,0.992,1,0.008,0,0.0,0,0.0,0,0.0
claude-opus-4-7:zeroshot,D3_text_only,125,96,0.768,22,0.176,0,0.0,0,0.0,7,0.056
claude-opus-4-7:zeroshot,D4_abbreviated,125,101,0.808,17,0.136,0,0.0,5,0.04,2,0.016
claude-sonnet-4-6:constrained,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:constrained,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:constrained,D3_text_only,125,110,0.88,15,0.12,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:constrained,D4_abbreviated,125,113,0.904,12,0.096,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:rag,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:rag,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:rag,D3_text_only,125,108,0.864,17,0.136,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:rag,D4_abbreviated,125,96,0.768,29,0.232,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:zeroshot,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-sonnet-4-6:zeroshot,D2_no_code,125,94,0.752,30,0.24,0,0.0,0,0.0,1,0.008
claude-sonnet-4-6:zeroshot,D3_text_only,125,81,0.648,36,0.288,0,0.0,0,0.0,8,0.064
claude-sonnet-4-6:zeroshot,D4_abbreviated,125,77,0.616,40,0.32,0,0.0,4,0.032,4,0.032
gemini-2.5-flash:constrained,D1_full,125,124,0.992,0,0.0,0,0.0,0,0.0,1,0.008
gemini-2.5-flash:constrained,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gemini-2.5-flash:constrained,D3_text_only,125,105,0.84,5,0.04,0,0.0,0,0.0,15,0.12
gemini-2.5-flash:constrained,D4_abbreviated,125,88,0.704,14,0.112,0,0.0,0,0.0,23,0.184
gemini-2.5-flash:rag,D1_full,125,123,0.984,0,0.0,0,0.0,0,0.0,2,0.016
gemini-2.5-flash:rag,D2_no_code,125,120,0.96,0,0.0,0,0.0,0,0.0,5,0.04
gemini-2.5-flash:rag,D3_text_only,125,96,0.768,2,0.016,0,0.0,0,0.0,27,0.216
gemini-2.5-flash:rag,D4_abbreviated,125,84,0.672,15,0.12,0,0.0,0,0.0,26,0.208
gemini-2.5-flash:zeroshot,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gemini-2.5-flash:zeroshot,D2_no_code,125,107,0.856,4,0.032,0,0.0,0,0.0,14,0.112
gemini-2.5-flash:zeroshot,D3_text_only,125,76,0.608,1,0.008,0,0.0,0,0.0,48,0.384
gemini-2.5-flash:zeroshot,D4_abbreviated,125,69,0.552,2,0.016,0,0.0,0,0.0,54,0.432
gemini-2.5-pro:constrained,D1_full,125,57,0.456,0,0.0,0,0.0,0,0.0,68,0.544
gemini-2.5-pro:constrained,D2_no_code,125,85,0.68,0,0.0,0,0.0,0,0.0,40,0.32
gemini-2.5-pro:constrained,D3_text_only,125,40,0.32,1,0.008,0,0.0,0,0.0,84,0.672
gemini-2.5-pro:constrained,D4_abbreviated,125,49,0.392,0,0.0,0,0.0,0,0.0,76,0.608
gemini-2.5-pro:rag,D1_full,125,49,0.392,0,0.0,0,0.0,0,0.0,76,0.608
gemini-2.5-pro:rag,D2_no_code,125,44,0.352,0,0.0,0,0.0,0,0.0,81,0.648
gemini-2.5-pro:rag,D3_text_only,125,31,0.248,0,0.0,0,0.0,0,0.0,94,0.752
gemini-2.5-pro:rag,D4_abbreviated,125,35,0.28,7,0.056,0,0.0,0,0.0,83,0.664
gemini-2.5-pro:zeroshot,D1_full,125,28,0.224,0,0.0,0,0.0,0,0.0,97,0.776
gemini-2.5-pro:zeroshot,D2_no_code,125,18,0.144,0,0.0,0,0.0,0,0.0,107,0.856
gemini-2.5-pro:zeroshot,D3_text_only,125,7,0.056,0,0.0,0,0.0,0,0.0,118,0.944
gemini-2.5-pro:zeroshot,D4_abbreviated,125,6,0.048,0,0.0,0,0.0,0,0.0,119,0.952
gemini-3-flash-preview:constrained,D1_full,125,122,0.976,0,0.0,0,0.0,0,0.0,3,0.024
gemini-3-flash-preview:constrained,D2_no_code,125,121,0.968,0,0.0,0,0.0,0,0.0,4,0.032
gemini-3-flash-preview:constrained,D3_text_only,125,99,0.792,4,0.032,0,0.0,0,0.0,22,0.176
gemini-3-flash-preview:constrained,D4_abbreviated,125,106,0.848,3,0.024,0,0.0,0,0.0,16,0.128
gemini-3-flash-preview:rag,D1_full,125,119,0.952,0,0.0,0,0.0,0,0.0,6,0.048
gemini-3-flash-preview:rag,D2_no_code,125,107,0.856,0,0.0,0,0.0,0,0.0,18,0.144
gemini-3-flash-preview:rag,D3_text_only,125,102,0.816,3,0.024,0,0.0,0,0.0,20,0.16
gemini-3-flash-preview:rag,D4_abbreviated,125,84,0.672,17,0.136,0,0.0,0,0.0,24,0.192
gemini-3-flash-preview:zeroshot,D1_full,125,97,0.776,0,0.0,0,0.0,0,0.0,28,0.224
gemini-3-flash-preview:zeroshot,D2_no_code,125,90,0.72,0,0.0,0,0.0,0,0.0,35,0.28
gemini-3-flash-preview:zeroshot,D3_text_only,125,69,0.552,4,0.032,0,0.0,0,0.0,52,0.416
gemini-3-flash-preview:zeroshot,D4_abbreviated,125,75,0.6,1,0.008,0,0.0,0,0.0,49,0.392
gpt-4o-mini:constrained,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-mini:constrained,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-mini:constrained,D3_text_only,125,113,0.904,12,0.096,0,0.0,0,0.0,0,0.0
gpt-4o-mini:constrained,D4_abbreviated,125,108,0.864,17,0.136,0,0.0,0,0.0,0,0.0
gpt-4o-mini:rag,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-mini:rag,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-mini:rag,D3_text_only,125,101,0.808,24,0.192,0,0.0,0,0.0,0,0.0
gpt-4o-mini:rag,D4_abbreviated,125,101,0.808,24,0.192,0,0.0,0,0.0,0,0.0
gpt-4o-mini:zeroshot,D1_full,125,124,0.992,0,0.0,0,0.0,0,0.0,1,0.008
gpt-4o-mini:zeroshot,D2_no_code,125,106,0.848,2,0.016,1,0.008,0,0.0,16,0.128
gpt-4o-mini:zeroshot,D3_text_only,125,98,0.784,13,0.104,0,0.0,2,0.016,12,0.096
gpt-4o-mini:zeroshot,D4_abbreviated,125,98,0.784,16,0.128,0,0.0,2,0.016,9,0.072
gpt-5.5:constrained,D1_full,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5.5:constrained,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5.5:constrained,D3_text_only,125,109,0.872,16,0.128,0,0.0,0,0.0,0,0.0
gpt-5.5:constrained,D4_abbreviated,125,109,0.872,16,0.128,0,0.0,0,0.0,0,0.0
gpt-5.5:rag,D1_full,125,124,0.992,0,0.0,0,0.0,0,0.0,1,0.008
gpt-5.5:rag,D2_no_code,125,123,0.984,0,0.0,0,0.0,0,0.0,2,0.016
gpt-5.5:rag,D3_text_only,125,109,0.872,16,0.128,0,0.0,0,0.0,0,0.0
gpt-5.5:rag,D4_abbreviated,125,90,0.72,29,0.232,0,0.0,0,0.0,6,0.048
gpt-5.5:zeroshot,D1_full,125,124,0.992,0,0.0,0,0.0,0,0.0,1,0.008
gpt-5.5:zeroshot,D2_no_code,125,125,1.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-5.5:zeroshot,D3_text_only,125,89,0.712,16,0.128,0,0.0,19,0.152,1,0.008
gpt-5.5:zeroshot,D4_abbreviated,125,106,0.848,16,0.128,0,0.0,3,0.024,0,0.0
pubmedbert:classifier,D1_full,125,63,0.504,37,0.296,18,0.144,7,0.056,0,0.0
pubmedbert:classifier,D2_no_code,125,63,0.504,37,0.296,18,0.144,7,0.056,0,0.0
pubmedbert:classifier,D3_text_only,125,63,0.504,37,0.296,18,0.144,7,0.056,0,0.0
pubmedbert:classifier,D4_abbreviated,125,50,0.4,37,0.296,31,0.248,7,0.056,0,0.0
sentence-transformer:retrieval,D1_full,125,101,0.808,24,0.192,0,0.0,0,0.0,0,0.0
sentence-transformer:retrieval,D2_no_code,125,101,0.808,24,0.192,0,0.0,0,0.0,0,0.0
sentence-transformer:retrieval,D3_text_only,125,101,0.808,24,0.192,0,0.0,0,0.0,0,0.0
sentence-transformer:retrieval,D4_abbreviated,125,42,0.336,4,0.032,8,0.064,65,0.52,6,0.048
