model,mode,n,n_hallucinations,rate,ci_lower,ci_upper
baseline:exact,D1_full,125,0,0.0,0.0,0.0298164567965626
baseline:exact,D2_no_code,125,0,0.0,0.0,0.0298164567965626
baseline:exact,D3_text_only,125,0,0.0,0.0,0.0298164567965626
baseline:exact,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
baseline:fuzzy,D1_full,125,30,0.24,0.17359960150069903,0.3219049560335135
baseline:fuzzy,D2_no_code,125,30,0.24,0.17359960150069903,0.3219049560335135
baseline:fuzzy,D3_text_only,125,30,0.24,0.17359960150069903,0.3219049560335135
baseline:fuzzy,D4_abbreviated,125,34,0.272,0.20165963789326397,0.3559366664059686
baseline:tfidf,D1_full,125,36,0.288,0.21587365721299623,0.3727685204687463
baseline:tfidf,D2_no_code,125,36,0.288,0.21587365721299623,0.3727685204687463
baseline:tfidf,D3_text_only,125,36,0.288,0.21587365721299623,0.3727685204687463
baseline:tfidf,D4_abbreviated,125,39,0.312,0.2374075954530664,0.39780339230244116
claude-haiku-4-5:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:zeroshot,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-haiku-4-5:zeroshot,D2_no_code,125,4,0.032,0.012512936695839402,0.07939526686574319
claude-haiku-4-5:zeroshot,D3_text_only,125,6,0.048,0.022181703179511375,0.10077237376458122
claude-haiku-4-5:zeroshot,D4_abbreviated,125,4,0.032,0.012512936695839402,0.07939526686574319
claude-opus-4-7:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:zeroshot,D1_full,125,1,0.008,0.0014135587198986672,0.043925834767918934
claude-opus-4-7:zeroshot,D2_no_code,125,0,0.0,0.0,0.0298164567965626
claude-opus-4-7:zeroshot,D3_text_only,125,7,0.056,0.02738787677635804,0.11108913685898955
claude-opus-4-7:zeroshot,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:zeroshot,D1_full,125,0,0.0,0.0,0.0298164567965626
claude-sonnet-4-6:zeroshot,D2_no_code,125,1,0.008,0.0014135587198986672,0.043925834767918934
claude-sonnet-4-6:zeroshot,D3_text_only,125,8,0.064,0.032783186697971346,0.12121676362863126
claude-sonnet-4-6:zeroshot,D4_abbreviated,125,4,0.032,0.012512936695839402,0.07939526686574319
gemini-2.5-flash:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:zeroshot,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:zeroshot,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-flash:zeroshot,D3_text_only,125,1,0.008,0.0014135587198986672,0.043925834767918934
gemini-2.5-flash:zeroshot,D4_abbreviated,125,1,0.008,0.0014135587198986672,0.043925834767918934
gemini-2.5-pro:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:zeroshot,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:zeroshot,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:zeroshot,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-2.5-pro:zeroshot,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:zeroshot,D1_full,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:zeroshot,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:zeroshot,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gemini-3-flash-preview:zeroshot,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gpt-4o-mini:zeroshot,D1_full,125,1,0.008,0.0014135587198986672,0.043925834767918934
gpt-4o-mini:zeroshot,D2_no_code,125,16,0.128,0.08034633966605037,0.1978371041905922
gpt-4o-mini:zeroshot,D3_text_only,125,12,0.096,0.05577067419104216,0.16032102290058042
gpt-4o-mini:zeroshot,D4_abbreviated,125,9,0.072,0.03833870320042581,0.13118418381743177
gpt-5.5:constrained,D1_full,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:constrained,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:constrained,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:constrained,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:rag,D1_full,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:rag,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:rag,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:rag,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:zeroshot,D1_full,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:zeroshot,D2_no_code,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:zeroshot,D3_text_only,125,0,0.0,0.0,0.0298164567965626
gpt-5.5:zeroshot,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
pubmedbert:classifier,D1_full,125,0,0.0,0.0,0.0298164567965626
pubmedbert:classifier,D2_no_code,125,0,0.0,0.0,0.0298164567965626
pubmedbert:classifier,D3_text_only,125,0,0.0,0.0,0.0298164567965626
pubmedbert:classifier,D4_abbreviated,125,0,0.0,0.0,0.0298164567965626
sentence-transformer:retrieval,D1_full,125,0,0.0,0.0,0.0298164567965626
sentence-transformer:retrieval,D2_no_code,125,0,0.0,0.0,0.0298164567965626
sentence-transformer:retrieval,D3_text_only,125,0,0.0,0.0,0.0298164567965626
sentence-transformer:retrieval,D4_abbreviated,125,6,0.048,0.022181703179511375,0.10077237376458122
